Employee_ID,Name,Department,Country,Email,Sales,Bonus,Performance_Score,Join_Date,Manager,Region
EMP1000,Employee 1,IT,USA,employee1@company.com,33055.2,4435.35,2.9,2023-12-18,John Smith,Europe
EMP1001,Employee 2,Sales,Saudi Arabia,employee2@company.com,45237.14,3208.15,4.6,2023-10-09,John Smith,Europe
EMP1002,Employee 3,IT,UK,employee3@company.com,32009.65,745.81,4.6,2022-05-04,Sarah Lee,North America
EMP1003,Employee 4,Marketing,Saudi Arabia,,47476.4,3288.41,4.8,2021-03-19,Ahmed Ali,North America
EMP1004,Employee 5,Finance,Germany,employee5@company.com,49646.54,2288.12,3.7,2023-12-30,David Brown,Europe
EMP1005,Employee 6,Marketing,Canada,employee6@company.com,40176.41,3962.29,2.9,2023-05-05,Maria Garcia,North America
EMP1006,Employee 7,Operations,Germany,employee7@company.com,41240.26,2714.47,3.9,2020-03-26,Maria Garcia,Middle East
EMP1007,Employee 8,Finance,UK,employee8@company.com,32033.11,3521.69,3.8,2021-02-23,Maria Garcia,Europe
EMP1008,Employee 9,,Saudi Arabia,employee9@company.com,39922.23,848.0,3.8,2021-03-24,Sarah Lee,Middle East
EMP1009,Employee 10,HR,Saudi Arabia,employee10@company.com,,4007.84,2.7,2024-10-01,Maria Garcia,North America
EMP1010,Employee 11,IT,Canada,employee11@company.com,,995.99,4.6,2022-10-19,Ahmed Ali,Europe
EMP1011,Employee 12,IT,Canada,employee12@company.com,,4861.32,4.5,2021-01-14,John Smith,Europe
EMP1012,Employee 13,Marketing,Canada,employee13@company.com,32376.38,3863.22,3.0,2023-03-28,John Smith,North America
EMP1013,Employee 14,IT,Canada,employee14@company.com,16598.96,4482.65,2.5,2023-09-30,Maria Garcia,North America
EMP1014,Employee 15,HR,UAE,employee15@company.com,48411.15,3459.49,4.5,2021-04-22,John Smith,Europe
EMP1015,Employee 16,Marketing,Canada,employee16@company.com,20842.61,1981.82,4.7,2023-04-16,David Brown,Middle East
EMP1016,Employee 17,Finance,Canada,employee17@company.com,14050.52,4847.1,3.6,2020-12-04,Maria Garcia,Middle East
EMP1017,Employee 18,Operations,,employee18@company.com,10501.64,2090.48,4.1,2021-04-18,John Smith,Middle East
EMP1018,Employee 19,Marketing,USA,,7364.77,1666.61,3.3,2020-06-08,Maria Garcia,North America
EMP1019,Employee 20,Sales,UAE,employee20@company.com,46925.55,4045.13,3.0,2022-10-07,Maria Garcia,North America
EMP1020,Employee 21,IT,USA,employee21@company.com,45917.44,1323.52,4.7,2023-10-29,David Brown,North America
EMP1021,Employee 22,Finance,UK,employee22@company.com,45563.38,2510.48,4.1,2020-01-10,Maria Garcia,North America
EMP1022,Employee 23,Finance,Saudi Arabia,employee23@company.com,10435.48,4447.96,2.6,2025-05-20,David Brown,Middle East
EMP1023,Employee 24,Marketing,Germany,employee24@company.com,46612.91,3779.21,5.0,2024-08-24,Maria Garcia,Middle East
EMP1024,Employee 25,Marketing,Germany,employee25@company.com,10330.19,3077.67,4.9,2021-08-17,David Brown,Europe
EMP1025,Employee 26,IT,UAE,employee26@company.com,9497.74,312.65,2.6,2025-05-22,Sarah Lee,North America
EMP1026,Employee 27,Sales,Canada,employee27@company.com,,2071.19,4.5,2023-04-07,Ahmed Ali,North America
EMP1027,Employee 28,HR,USA,employee28@company.com,12053.93,2086.8,2.8,2022-11-01,David Brown,Middle East
EMP1028,Employee 29,Marketing,Germany,employee29@company.com,48737.76,4192.11,4.2,2020-09-21,Maria Garcia,Middle East
EMP1029,Employee 30,,UAE,employee30@company.com,21370.15,2663.59,3.2,2021-12-19,David Brown,Middle East
EMP1030,Employee 31,HR,Canada,employee31@company.com,38753.61,3662.75,2.7,2022-12-02,Maria Garcia,Middle East
EMP1031,Employee 32,Finance,Saudi Arabia,,41606.38,4382.49,4.7,2020-01-13,Maria Garcia,Europe
EMP1032,Employee 33,Finance,UAE,employee33@company.com,2342.45,4523.28,2.6,2020-08-21,John Smith,Middle East
EMP1033,Employee 34,Sales,Germany,employee34@company.com,24973.28,2308.27,2.8,2025-05-15,John Smith,North America
EMP1034,Employee 35,Finance,USA,employee35@company.com,46761.87,3519.04,3.0,2021-12-11,Sarah Lee,Middle East
EMP1035,Employee 36,IT,Canada,employee36@company.com,28090.29,3809.94,4.1,2020-04-24,,Middle East
EMP1036,Employee 37,Operations,Saudi Arabia,employee37@company.com,39136.21,3700.14,3.4,2022-08-30,Sarah Lee,North America
EMP1037,Employee 38,Sales,USA,employee38@company.com,12336.64,2516.53,4.8,2021-08-03,Ahmed Ali,North America
EMP1038,Employee 39,Sales,UK,employee39@company.com,14996.37,2209.48,3.6,2021-11-09,Ahmed Ali,Europe
EMP1039,Employee 40,Marketing,Germany,employee40@company.com,32304.63,3275.15,3.3,2021-06-22,Maria Garcia,Europe
EMP1040,Employee 41,IT,Canada,employee41@company.com,26970.82,4636.13,3.3,2021-05-20,Maria Garcia,North America
EMP1041,Employee 42,HR,,employee42@company.com,18151.06,936.71,3.6,2020-05-22,David Brown,Middle East
EMP1042,Employee 43,Operations,UAE,employee43@company.com,37642.19,4223.14,4.2,2023-01-02,David Brown,Europe
EMP1043,Employee 44,Finance,UK,employee44@company.com,4672.3,2360.1,3.8,2021-08-01,Maria Garcia,Middle East
EMP1044,Employee 45,Marketing,UK,employee45@company.com,49604.15,4540.58,4.3,2022-07-31,Ahmed Ali,Middle East
EMP1045,Employee 46,IT,Saudi Arabia,employee46@company.com,2091.53,4194.81,4.2,2022-08-22,David Brown,Europe
EMP1046,Employee 47,Finance,,employee47@company.com,30480.07,3952.58,4.7,2021-02-12,John Smith,Middle East
EMP1047,Employee 48,Marketing,Saudi Arabia,employee48@company.com,37215.29,4228.0,2.9,2023-05-02,Maria Garcia,Europe
EMP1048,Employee 49,Finance,UAE,employee49@company.com,19127.22,3600.4,3.4,2024-07-25,Ahmed Ali,Europe
EMP1049,Employee 50,Marketing,UAE,employee50@company.com,32882.83,1102.93,4.9,2024-12-18,Ahmed Ali,Middle East
EMP1050,Employee 51,Operations,Saudi Arabia,employee51@company.com,24582.62,1215.35,2.8,2020-11-16,Ahmed Ali,Middle East
EMP1051,Employee 52,IT,Canada,employee52@company.com,49117.38,817.87,4.7,2020-09-21,Sarah Lee,Europe
EMP1052,Employee 53,Operations,Canada,employee53@company.com,2505.24,3615.12,4.2,2023-09-21,Sarah Lee,North America
EMP1053,Employee 54,Operations,UAE,employee54@company.com,33635.19,4021.07,4.4,2022-02-04,Sarah Lee,Middle East
EMP1054,Employee 55,IT,Germany,employee55@company.com,25615.35,752.11,4.8,2023-04-23,Ahmed Ali,Europe
EMP1055,Employee 56,Marketing,UAE,employee56@company.com,37046.28,125.77,3.3,2020-07-31,David Brown,Middle East
EMP1056,Employee 57,Marketing,UAE,employee57@company.com,41663.51,475.42,3.6,2022-08-04,John Smith,Middle East
EMP1057,Employee 58,Finance,,employee58@company.com,21215.32,676.59,3.5,2023-01-21,John Smith,Middle East
EMP1058,Employee 59,Finance,Canada,employee59@company.com,48570.55,4147.65,3.0,2023-04-10,David Brown,Middle East
EMP1059,Employee 60,HR,UAE,employee60@company.com,36271.3,1724.13,4.6,2020-04-01,,Middle East
EMP1060,Employee 61,Operations,Canada,,19095.25,866.01,2.7,2022-03-09,Ahmed Ali,Middle East
EMP1061,Employee 62,IT,UAE,employee62@company.com,31324.34,3828.09,3.5,2023-02-14,,Europe
